Altitude,Total Threat Count
250,211
255,223
260,246
265,266
270,287
275,318
280,343
285,359
290,380
295,410
300,434
305,459
310,485
315,519
320,545
325,576
330,602
335,603
340,637
345,639
350,667
355,716
360,799
365,741
370,769
375,799
380,849
385,864
390,887
395,922
400,963
405,1004
410,1036
415,1074
420,1173
425,1132
430,1167
435,1221
440,1252
445,1297
450,1354
455,1386
460,1427
465,1477
470,1574
475,1615
480,1635
485,1698
490,1786
495,1869
500,1909
505,1964
510,1979
515,2077
520,2089
525,2094
530,2085
535,2103
540,3642
545,2228
550,2246
555,2322
560,2879
565,2512
570,2700
575,2522
580,2553
585,2600
590,2671
595,2684
600,2749
605,2832
610,2913
615,2986
620,3041
625,3102
630,3144
635,3190
640,3260
645,3313
650,3385
655,3439
660,3515
665,3594
670,3701
675,3826
680,3933
685,4012
690,4094
695,4173
700,4241
705,4327
710,4378
715,4458
720,4533
725,4588
730,4665
735,4764
740,4837
745,4918
750,4991
755,5115
760,5223
765,5331
770,5426
775,5562
780,5595
785,5639
790,5636
795,5670
800,5692
805,5772
810,5852
815,5896
820,5988
825,6067
830,6283
835,6327
840,6398
845,6377
850,6314
855,6239
860,6156
865,6090
870,5994
875,5878
880,5828
885,5737
890,5647
895,5579
900,5546
905,5511
910,5440
915,5395
920,5345
925,5270
930,5193
935,5155
940,5117
945,5059
950,5047
955,5038
960,5019
965,5017
970,4977
975,4955
980,4929
985,4891
990,4819
995,4740
1000,4645
1005,4548
1010,4432
1015,4345
1020,4302
1025,4272
1030,4262
1035,4243
1040,4242
1045,4231
1050,4215
1055,4206
1060,4197
1065,4188
1070,4178
1075,4172
1080,4163
1085,4168
1090,4168
1095,4174
1100,4149
1105,4109
1110,4075
1115,4043
1120,4019
1125,3995
1130,3959
1135,3918
1140,3903
1145,3878
1150,3849
1155,3814
1160,3796
1165,3785
1170,3764
1175,3757
1180,3773
1185,3792
1190,3763
1195,3751
1200,3728
1205,3699
1210,3683
1215,3661
1220,3638
1225,3581
1230,3560
1235,3552
1240,3565
1245,3583
1250,3598
1255,3610
1260,3630
1265,3641
1270,3631
1275,3614
1280,3604
1285,3579
1290,3564
1295,3522
1300,3478
1305,3450
1310,3410
1315,3403
1320,3398
1325,3397
1330,3400
1335,3400
1340,3404
1345,3400
1350,3404
1355,3403
1360,3407
1365,3408
1370,3417
1375,3426
1380,3432
1385,3443
1390,3461
1395,3488
1400,3519
1405,3558
1410,3603
1415,3618
1420,3586
1425,3575
1430,3586
1435,3597
1440,3629
1445,3658
1450,3678
1455,3702
1460,3735
1465,3741
1470,3757
1475,3762
1480,3778
1485,3761
1490,3735
1495,3724
1500,3720
1505,3722
1510,3676
1515,3608
1520,3566
1525,3521
1530,3492
1535,3465
1540,3447
1545,3434
1550,3414
1555,3390
1560,3378
1565,3363
1570,3356
1575,3336
1580,3325
1585,3315
1590,3312
1595,3297
1600,3273
1605,3266
1610,3253
1615,3245
1620,3241
1625,3229
1630,3214
1635,3203
1640,3194
1645,3191
1650,3172
1655,3160
1660,3147
1665,3126
1670,3110
1675,3095
1680,3081
1685,3058
1690,3045
1695,3024
1700,3016
1705,2997
1710,2982
1715,2965
1720,2955
1725,2936
1730,2925
1735,2912
1740,2905
1745,2895
1750,2887
1755,2878
1760,2868
1765,2865
1770,2863
1775,2848
1780,2842
1785,2838
1790,2833
1795,2831
1800,2827
1805,2826
1810,2823
1815,2820
1820,2815
1825,2811
1830,2809
1835,2805
1840,2803
1845,2800
1850,2803
1855,2804
1860,2804
1865,2799
1870,2791
1875,2791
1880,2792
1885,2791
1890,2792
1895,2787
1900,2784
1905,2778
1910,2774
1915,2770
1920,2768
1925,2765
1930,2762
1935,2756
1940,2756
1945,2755
1950,2752
1955,2748
1960,2746
1965,2748
1970,2744
1975,2736
1980,2730
1985,2726
1990,2724
1995,2716
2000,2711
